,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
347,Coforge Ltd.,DATA ENGINEER,3.6,Bengaluru,539802.0,10000+ Employees,2004,Public,Information Technology Support Services,Information Technology,3.4,3.3,3.5,3.2,3.5
348,Innorenovate,Senior SQL Engineer-Data Science,4.0,Remote,2500000.0,1 to 50 Employees,--,Private,--,--,3.7,3.1,4.5,3.9,4.3
349,Rayvat Outsourcing,AI-ML Data Analyst,2.3,Gāndhīnagar,40000.0,51 to 200 Employees,2007,Self-employed,Business Consulting,Management & Consulting,2.0,1.5,1.3,2.0,1.8
350,Getinz,Data Engineer - GCV - HYD,4.5,Hyderābād,1350000.0,1 to 50 Employees,--,Private,--,--,4.4,4.1,4.5,4.4,4.5
351,HSO,HSO - GS - SQL & Data Migration,4.1,Bengaluru,328634.0,1001 to 5000 Employees,1987,Private,Enterprise Software & Network Solutions,Information Technology,4.0,4.2,3.9,3.8,4.1
352,Evalueserve,Analyst-Data Engineer,3.7,Gurgaon,774665.0,1001 to 5000 Employees,2000,Private,Business Consulting,Management & Consulting,3.6,3.2,3.7,3.5,3.6
353,Sakhatech Information Systems,Data Engineer - California,4.3,Bengaluru,538615.0,51 to 200 Employees,2005,Private,Information Technology Support Services,Information Technology,4.2,3.9,4.2,4.1,4.2
354,Tech mahindra,GCP Data Engineer,3.6,Bengaluru,421710.0,10000+ Employees,1986,Public,Information Technology Support Services,Information Technology,3.5,3.0,3.5,3.2,3.5
355,TMI Group,"Data Scientist (Statistian, Bayesian modelli...",3.9,Hyderābād,1750000.0,Unknown,--,Public,--,--,5.0,3.0,5.0,5.0,5.0
356,HQ Account LLC,Data Engineer,4.1,Cochin,376162.0,10000+ Employees,1867,Public,Food & Beverage Manufacturing,Manufacturing,3.9,3.9,4.1,3.7,3.7
357,ANZ Banking Group,Data Engineer,4.1,Bengaluru,799375.0,5001 to 10000 Employees,1835,Public,Banking & Lending,Finance,3.8,3.7,4.1,3.6,4.1
358,Synopsys,Data Analyst (License Compliance),4.0,Noida,519591.0,10000+ Employees,1986,Public,Computer Hardware Development,Information Technology,3.9,3.7,4.1,3.8,4.0
359,MRI Software,Data Engineer Level II,3.6,Bengaluru,401313.0,1001 to 5000 Employees,1971,Private,Computer Hardware Development,Information Technology,3.6,3.4,3.8,3.4,3.9
360,RamSoft,Data Engineer,3.4,Bengaluru,857763.0,51 to 200 Employees,1994,Private,Software Development,Information Technology,3.1,3.6,3.2,3.1,3.7
361,Warner Bros. Discovery,Associate Data Engineer,3.6,Hyderābād,556230.0,10000+ Employees,2003,Public,Film Production,Media & Communication,3.1,3.6,3.4,3.0,3.6
362,Sprinklr,Data quality Analyst,3.4,Gurgaon,779230.0,1001 to 5000 Employees,2009,Public,Enterprise Software & Network Solutions,Information Technology,3.3,3.8,3.1,3.0,2.8
363,KPMG,Lighthouse Pyspark Data Engineer,3.8,Bengaluru,591608.0,10000+ Employees,1987,Private,Business Consulting,Management & Consulting,4.0,3.3,3.7,3.5,3.0
364,Arm,Data Platform Administrator,4.4,Bengaluru,555354.0,1001 to 5000 Employees,1990,Public,Computer Hardware Development,Information Technology,4.2,4.2,4.5,3.9,4.4
365,SIGMOID,Associate Data Scientist,4.0,Bengaluru,861070.0,501 to 1000 Employees,2013,Private,Information Technology Support Services,Information Technology,4.0,3.8,3.8,3.8,3.7
366,S&P Global,LNG Data Analyst,4.1,Gurgaon,578496.0,10000+ Employees,1860,Public,Research & Development,Management & Consulting,3.8,3.8,4.2,3.8,4.2
367,Komodo Health,Research Data Analyst,3.5,Chennai,476943.0,501 to 1000 Employees,2014,Private,Enterprise Software & Network Solutions,Information Technology,3.3,3.7,3.5,3.1,3.8
368,Criteo,"Data Analyst, Retail Media, India",4.2,Gurgaon,910165.0,1001 to 5000 Employees,2005,Public,Internet & Web Services,Information Technology,3.8,4.1,4.4,3.8,4.4
369,Macgence Technologies (OPC) PVT LTD,Internship (Data Annotation),4.8,Remote,5000.0,Unknown,--,Public,--,--,5.0,5.0,5.0,5.0,5.0
370,SAP,Data Scientist for 3rd Party Data Management,4.4,Bengaluru,734492.0,10000+ Employees,1972,Public,Enterprise Software & Network Solutions,Information Technology,4.1,4.0,4.4,3.9,4.3
371,Scaler Academy,Assistant Manager :: Data Analyst,4.0,Bengaluru,262907.0,51 to 200 Employees,2019,Private,Education Support & Training Services,Education,3.9,4.3,3.8,3.5,3.6
372,Creditas Solutions,Data Analyst,3.5,Gurgaon,747390.0,51 to 200 Employees,2015,Private,Research & Development,Management & Consulting,3.8,3.5,3.4,3.6,3.4
373,ADCI - Haryana - D50,"Data Associate I (German), ML Data Ops",3.7,Gurgaon,314223.0,10000+ Employees,1994,Public,Internet & Web Services,Information Technology,3.7,3.8,3.6,3.3,3.2
374,Indecomm Global Services,Lead Associate (Data Analysis),4.0,Bengaluru,266623.0,1001 to 5000 Employees,2003,Private,Enterprise Software & Network Solutions,Information Technology,3.9,3.6,3.8,3.7,3.9
375,Marktine Technology Solutions,Data Enginerr(Python + Sql),4.2,Bengaluru,1600000.0,51 to 200 Employees,2015,Private,Information Technology Support Services,Information Technology,4.0,3.7,4.1,4.1,4.3
376,Moody's,Data Analyst,3.9,Bengaluru,472696.0,10000+ Employees,1900,Public,Research & Development,Management & Consulting,3.4,3.4,3.8,3.4,3.7
377,Hilabs,Principal Data Scientist,3.6,Bengaluru,979796.0,51 to 200 Employees,2014,Private,Software Development,Information Technology,3.5,3.9,3.4,3.4,3.1
378,Merkle,Customer Analytics / Data Science - Lead Analyst - Analytics,3.7,Bengaluru,513142.0,10000+ Employees,1971,Private,Advertising & Public Relations,Media & Communication,3.5,3.2,3.7,3.3,3.8
379,Vexma Technologies,Data Entry,4.0,Vadodara,150838.0,1 to 50 Employees,2015,Private,Machinery Manufacturing,Manufacturing,4.3,3.5,4.4,3.9,3.5
380,Sagacious IP,Data Analyst,4.3,Gurgaon,277156.0,201 to 500 Employees,2008,Private,Research & Development,Management & Consulting,4.4,4.0,4.2,4.1,3.9
381,Ignitho,AWS Data Engineer,4.3,Chennai,250414.0,51 to 200 Employees,2016,Private,Information Technology Support Services,Information Technology,4.4,4.1,4.3,4.1,4.4
382,nurture.farm,Data Analyst,4.8,Bengaluru,494975.0,1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology,4.6,3.9,4.8,4.4,4.3
383,Growisto,Data Management & MIS Associate,4.3,Navi Mumbai,522034.0,51 to 200 Employees,2016,Private,Advertising & Public Relations,Media & Communication,4.4,4.2,4.4,4.3,3.9
384,Dhwani Rural Information Systems,Data Engineer,3.8,Gurgaon,388673.0,51 to 200 Employees,2015,Private,Software Development,Information Technology,3.9,3.3,3.8,3.7,3.3
385,Rahi Systems,Senior Executive - Data Analytics,3.8,Pune,1750000.0,501 to 1000 Employees,2012,Private,Information Technology Support Services,Information Technology,3.5,3.5,3.8,3.6,3.4
386,Hexanika,Data Analyst,3.5,Pune,367423.0,1 to 50 Employees,--,Private,--,--,3.8,3.1,3.9,3.8,3.7
387,Squalas,Data Warehouse ETL Tester,5.0,Hyderābād,258198.0,1 to 50 Employees,--,Private,--,--,5.0,5.0,5.0,5.0,5.0
388,ADCI - Uttar Pradesh,Data Engineer,3.7,Noida,520769.0,10000+ Employees,1994,Public,Internet & Web Services,Information Technology,3.7,3.8,3.6,3.3,3.2
389,Clairvoyant,Python Data Engineer,4.0,Pune,683831.0,501 to 1000 Employees,2012,Private,Information Technology Support Services,Information Technology,3.9,3.7,4.0,3.8,3.8
390,Providence Global Center,Data Annotation Analyst,3.6,Hyderābād,315247.0,501 to 1000 Employees,1855,Non-profit Organisation,Healthcare Services & Hospitals,Healthcare,3.6,3.4,3.7,3.1,3.4
391,Elfonze Technologies,"Microsoft Azure including Azure Blob Storage, Azure Data Lake Storage.",4.8,Hyderābād,352564.0,51 to 200 Employees,--,Private,--,--,4.8,4.6,4.8,4.8,4.7
392,altbalaji,Data Analyst,2.8,Mumbai,264811.0,51 to 200 Employees,--,Public,--,--,3.0,2.9,2.3,2.3,2.0
393,Biz4Group,AI Data Scientist,4.4,Jaipur,571421.0,1 to 50 Employees,2003,Private,Information Technology Support Services,Information Technology,4.2,4.0,4.2,4.3,4.2
394,Indecomm Technology Services,Lead Associate (Data Analysis),4.0,Bengaluru,266623.0,1001 to 5000 Employees,2003,Private,Enterprise Software & Network Solutions,Information Technology,3.9,3.6,3.8,3.7,3.9
395,Bombay Play,Data Analyst,4.3,Bengaluru,240000.0,51 to 200 Employees,2017,Private,Video Game Publishing,Media & Communication,4.3,4.2,4.3,4.1,4.3
396,Screen Magic Mobile Media Pvt. Ltd.,Data Analyst,3.6,Pune,463527.0,51 to 200 Employees,2008,Private,Enterprise Software & Network Solutions,Information Technology,3.7,3.6,3.3,3.2,3.2
397,Zeitview,Data Analyst - Utility Linesman,3.2,Bengaluru,662628.0,1 to 50 Employees,2014,Private,Internet & Web Services,Information Technology,3.0,2.7,3.3,3.1,3.6
398,PayU,Data Engineer,3.7,Bengaluru,762764.0,1001 to 5000 Employees,2002,Private,Internet & Web Services,Information Technology,3.6,3.6,3.6,3.4,3.6
399,Macgence Technologies (OPC) PVT LTD,Internship (Data Annotation),4.8,Remote,5000.0,Unknown,--,Public,--,--,5.0,5.0,5.0,5.0,5.0
400,Empower,Sr Analyst Data Science,3.9,Bengaluru,394308.0,10000+ Employees,1907,Private,Investment & Asset Management,Finance,3.9,3.6,3.9,3.6,4.0
401,Paytm,MS SQL- DBA,3.6,Noida,514293.0,10000+ Employees,2010,Public,Internet & Web Services,Information Technology,3.8,3.6,3.3,3.3,3.2
402,Adobe,Data Scientist,4.3,Noida,488950.0,10000+ Employees,1982,Public,Computer Hardware Development,Information Technology,4.0,4.2,4.4,3.9,4.2
403,Blue Yonder,Business Analytics Analyst I,4.1,Bengaluru,725428.0,5001 to 10000 Employees,1985,Private,Enterprise Software & Network Solutions,Information Technology,3.9,3.9,4.2,3.7,4.0
404,Adobe,Senior Data Architect,4.3,Bengaluru,754707.0,10000+ Employees,1982,Public,Computer Hardware Development,Information Technology,4.0,4.2,4.4,3.9,4.2
405,Crossroad Elf DSS,Data Analytics Developer,4.8,Bengaluru,526498.0,1 to 50 Employees,2017,Private,Information Technology Support Services,Information Technology,5.0,5.0,5.0,5.0,5.0
406,Fusemachines,Data Analyst,3.4,Pune,364005.0,51 to 200 Employees,--,Private,Internet & Web Services,Information Technology,3.6,3.0,3.7,3.0,3.6
407,Myntra.com,Associate - Business Planning (Business Analyst),4.0,Bengaluru,804984.0,1001 to 5000 Employees,2007,Private,Internet & Web Services,Information Technology,3.8,3.7,4.0,3.5,3.5
408,Airbus,Technical Data Analyst,4.1,Bengaluru,486056.0,1001 to 5000 Employees,1970,Public,Aerospace & Defence,Aerospace & Defence,3.9,3.9,4.0,3.5,4.2
409,Deloitte,Consulting-SAMA A&C-Data Science,4.1,Bengaluru,748378.0,10000+ Employees,1850,Private,Accounting & Tax,Finance,4.1,4.0,4.1,3.8,3.3
410,NeGD,Data Analysts - MoRD,3.6,New Delhi,524786.0,1 to 50 Employees,--,Non-profit Organisation,--,--,2.6,2.7,3.0,3.2,3.3
411,HDFC Bank,Retail Credit-Data Entry Operator-BL - Jaipur,3.6,Jaipur,109408.0,10000+ Employees,1995,Public,Banking & Lending,Finance,3.6,3.3,3.2,3.1,2.7
412,RightWave,Data Analyst,4.0,Noida,464758.0,51 to 200 Employees,2004,Private,Advertising & Public Relations,Media & Communication,4.0,3.7,3.9,3.8,3.7
413,Skyrand Technologies,Data Entry Operator,4.7,Coimbatore,12000.0,1 to 50 Employees,--,Private,--,--,4.1,4.0,4.1,4.3,4.5
414,StatusNeo Technology Consulting,Data Scientist,4.0,Gurgaon,501996.0,1 to 50 Employees,--,Private,--,--,4.0,3.9,4.0,3.8,3.8
415,Emerson,Supply Chain Data Analyst,3.9,Pune,482377.0,10000+ Employees,1890,Public,Electronics Manufacturing,Manufacturing,3.7,3.4,3.9,3.5,3.8
416,METRIO,Business Analyst,4.0,Bengaluru,594298.0,1001 to 5000 Employees,1971,Public,Stock Exchanges,Finance,3.8,3.8,4.1,3.9,4.0
417,UBS,Data Management Analyst,3.9,Pune,682367.0,10000+ Employees,1862,Public,Investment & Asset Management,Finance,3.6,3.5,3.9,3.5,3.8
418,GUJARAT FLUOROCHEMICALS,Data Scientist,4.3,Noida,591502.0,1001 to 5000 Employees,--,Private,Chemical Manufacturing,Manufacturing,4.2,4.0,4.0,3.8,3.9
419,Elsevier,Senior Data Analyst I,4.5,Chennai,666813.0,5001 to 10000 Employees,1880,Subsidiary or Business Segment,Publishing,Media & Communication,4.1,4.2,4.5,4.0,4.6
420,Resource Solutions,Operational Data Analyst,4.2,Hyderābād,405625.0,501 to 1000 Employees,1997,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,4.1,3.9,4.2,4.1,4.1
421,Affine,Data Analyst,4.8,Bengaluru,480625.0,1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology,4.6,3.9,4.8,4.4,4.3
422,MathCo,Senior Associate - Data Science,3.5,Bengaluru,876519.0,1001 to 5000 Employees,2016,Private,Business Consulting,Management & Consulting,3.6,3.4,3.6,3.2,2.9
423,Larsen & Toubro,Data Analyst,3.5,Chennai,650000.0,10000+ Employees,2014,Public,Information Technology Support Services,Information Technology,3.4,2.9,3.4,3.1,3.4
424,Lilly,Data Scientist - 1st Party Data,4.1,Bengaluru,880909.0,10000+ Employees,1876,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.7,3.9,4.0,3.6,3.9
425,Cityinfo Services,DATA ANALYST,3.9,Bengaluru,322490.0,51 to 200 Employees,--,Private,Real Estate,Real Estate,4.0,3.9,3.9,4.1,4.0
426,Yara,Associate Data Engineer R&D (Contract),4.2,Bengaluru,659950.0,10000+ Employees,1905,Public,Chemical Manufacturing,Manufacturing,3.8,3.9,4.3,3.6,4.2
427,SourceMash Technologies,Data Analyst/Power BI,3.2,Mohali,406940.0,51 to 200 Employees,--,Private,--,--,3.4,3.1,3.1,3.1,3.3
428,Litmus7,Data Engineer,4.7,Cochin,724900.0,501 to 1000 Employees,2009,Private,Information Technology Support Services,Information Technology,4.4,4.1,4.7,4.5,4.5
429,Mastercard,Data Engineer II,4.3,Pune,203995.0,10000+ Employees,1966,Public,Financial Transaction Processing,Finance,4.2,4.2,4.4,4.0,4.3
430,Addepar,Market Data Analyst (Pune),4.2,Pune,420887.0,501 to 1000 Employees,2009,Private,Enterprise Software & Network Solutions,Information Technology,4.0,4.2,4.0,3.3,4.0
431,Nuware Systems,Analyst - Data Science,4.2,Bengaluru,821380.0,51 to 200 Employees,1994,Private,Information Technology Support Services,Information Technology,3.9,3.8,4.2,4.0,4.4
432,Schbang Digital Solutions,Business Analyst,3.8,Bengaluru,274542.0,1001 to 5000 Employees,2015,Private,Advertising & Public Relations,Media & Communication,4.0,3.2,3.9,3.5,3.4
433,G2,Data Scientist II,4.5,Bengaluru,701282.0,501 to 1000 Employees,2012,Private,Internet & Web Services,Information Technology,4.4,4.0,4.7,4.4,4.6
434,Creative Synergies Group,Data Analyst-Power BI,3.8,Bengaluru,761723.0,1001 to 5000 Employees,2011,Private,Software Development,Information Technology,3.9,3.6,3.8,3.9,3.8
435,ICON,Data & Reporting Analyst II,3.8,Chennai,909945.0,10000+ Employees,1990,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.6,3.5,3.7,3.4,3.7
436,JPMorgan Chase & Co,Data Quality Associate,4.0,Hyderābād,640045.0,10000+ Employees,1799,Public,Banking & Lending,Finance,4.0,3.9,3.9,3.6,3.7
437,NielsenIQ,Data Processing Analyst,3.9,Chennai,360000.0,10000+ Employees,1923,Private,Information Technology Support Services,Information Technology,3.6,3.3,4.1,3.6,3.7
438,Blinkyard Infotech,Data Entry,3.1,Bengaluru,158291.0,Unknown,--,Public,--,--,3.1,3.1,3.1,3.1,3.1
439,Heads Up For Tails,Inventory Manager- Data Analyst,4.3,Bengaluru,690600.0,1001 to 5000 Employees,2008,Private,Pet & Pet Supplies Stores,Retail & Wholesale,4.0,3.7,3.9,3.8,3.8
440,Amnet Digital,Data Scientist,4.0,Hyderābād,438887.0,51 to 200 Employees,--,Private,--,--,4.1,3.7,3.9,3.9,3.9
441,The Bridgespan Group,Platform & Data Associate,4.2,Mumbai,1400000.0,201 to 500 Employees,2000,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,4.2,4.2,4.3,3.8,3.5
442,Nestle Operational Services Worldwide SA,Data Engineer,4.1,Bengaluru,499919.0,10000+ Employees,1867,Public,Food & Beverage Manufacturing,Manufacturing,3.9,3.9,4.1,3.7,3.7
443,Coforge Ltd.,DATA ANALYST - SAS,3.6,Greater Noida,781721.0,10000+ Employees,2004,Public,Information Technology Support Services,Information Technology,3.4,3.3,3.5,3.2,3.5
444,Motive,Data Engineer,4.0,Bengaluru,616344.0,1001 to 5000 Employees,2013,Private,Software Development,Information Technology,3.9,3.9,4.1,3.7,4.0
445,DataEconomy,AWS Data Engineer,4.7,Hyderābād,852614.0,201 to 500 Employees,2018,Private,Information Technology Support Services,Information Technology,4.7,3.9,4.5,4.7,3.9
446,ADCI - Haryana,"Data Associate I (French), ML Data Ops",3.7,Gurgaon,317332.0,10000+ Employees,1994,Public,Internet & Web Services,Information Technology,3.7,3.8,3.6,3.3,3.2
447,Innovative Incentives,MIS & Data Analysts,3.3,Mohali,406940.0,51 to 200 Employees,--,Private,--,--,3.3,2.9,2.9,2.8,3.2
448,Moonpreneur,Data Research Associate,4.6,Gurgaon,406202.0,51 to 200 Employees,--,Private,--,--,5.0,5.0,5.0,5.0,4.5
449,Sitare Foundation,Data Entry Operator,3.0,Gurgaon,204573.0,Unknown,--,Private,"Civic, Welfare & Social Services",Non-profit & NGO,3.0,3.3,2.9,3.0,2.9
450,KRSNAA Diagnostics,Data Analyst,3.3,Pune,182166.0,Unknown,--,Private,Medical Testing & Clinical Laboratories,Healthcare,3.4,3.0,3.1,3.0,2.9
451,Quest Global,Data Analyst,3.7,Belgaum,415258.0,10000+ Employees,1997,Private,Information Technology Support Services,Information Technology,3.7,3.2,3.8,3.5,3.7
452,Concentrix,Data Miner Global Analytics,4.1,Bengaluru,414540.0,10000+ Employees,2004,Public,Information Technology Support Services,Information Technology,4.0,3.7,4.1,3.9,3.8
453,PharmaACE,Data Engineer,3.3,Pune,418911.0,201 to 500 Employees,2013,Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.8,3.2,3.2,3.2,2.7
454,Bombay Play,Data Engineer,4.3,Bengaluru,768192.0,51 to 200 Employees,2017,Private,Video Game Publishing,Media & Communication,4.3,4.2,4.3,4.1,4.3
455,Thoucentric,Data Analyst (Advanced SQL Experience),4.1,Bengaluru,921654.0,201 to 500 Employees,2015,Private,Business Consulting,Management & Consulting,3.8,3.5,4.5,4.1,4.0
456,Prevalent AI,Data Scientist,4.8,Cochin,691558.0,51 to 200 Employees,2017,Private,Enterprise Software & Network Solutions,Information Technology,4.9,4.5,4.9,4.8,4.1
457,Global WeConnect Technologies,Snowflake Data Engineer,4.8,Bengaluru,591608.0,1 to 50 Employees,2020,Private,Information Technology Support Services,Information Technology,4.6,4.4,4.4,4.6,4.2
458,IBM,Data Scientist: Artificial Intelligence,4.2,Bengaluru,747669.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,4.1,3.6,4.2,3.8,4.2
459,Gain.pro,Private Equity Intelligence - Data Management Analyst,4.0,Bengaluru,384773.0,51 to 200 Employees,2018,Private,Internet & Web Services,Information Technology,3.9,3.4,3.8,3.7,4.2
460,String Bio,DATA SCIENTIST,4.3,Bengaluru,579655.0,1 to 50 Employees,--,Private,--,--,4.6,3.3,4.5,4.7,3.6
461,Kpro Solutions,Analytics & Data Science,4.0,Bengaluru,483915.0,1 to 50 Employees,--,Private,--,--,4.0,4.0,4.0,4.0,4.0
462,Wesco,India-Bangalore: Data Engineer,3.7,Bengaluru,651920.0,10000+ Employees,1922,Public,Wholesale,Retail & Wholesale,3.5,3.4,3.6,3.3,3.8
463,Course5,Data Scientist,4.2,Bengaluru,424426.0,1001 to 5000 Employees,2000,Private,Business Consulting,Management & Consulting,4.3,4.1,4.3,4.1,4.2
